1	2	3	4	5	location
-94	-90	-78	-60	-88	center
-88	-80	-80		-88	center
-96	-88	-78	-70	-90	center
-92	-84			-90	center
-88	-84	-78	-60	-96	center
-96	-90	-80	-60	-88	center
	-84	-76	-70	-90	center
-88	-80		-70		center
-88	-84	-76		-94	center
-94	-84	-76	-60	-96	center
-88	-80	-78	-60		center
-94	-80	-78	-60		center
	-82	-76	-60		center
-88	-88	-78	-70		center
	-84	-80	-68	-88	center
-88	-84	-78	-60	-96	center
-94	-90	-78	-60	-88	center
-92	-78	-80		-88	center
-88	-80	-78	-60		center
-88		-78	-70	-90	center
	-84	-76		-96	center
-94	-88	-76	-60	-88	center
-94	-84	-76	-60	-88	center
-88	-80		-60		center
	-88	-76	-60	-90	center
-88	-80	-76	-70	-88	center
-88	-80	-78		-96	center
-94	-82	-78			center
	-82	-78	-60	-88	center
-92	-82			-94	center
-92	-84	-78	-60	-88	center
-92	-84	-78	-60		center
-88	-90	-80		-90	center
-88	-84		-70	-94	center
-94	-80	-76		-88	center
-88		-78	-60	-88	center
-94	-80	-76	-60		center
-88	-82		-60	-96	center
	-82				center
-94	-80	-78	-70		center
-92	-84	-80	-70	-96	center
-88	-90	-78		-88	center
-88	-80	-80	-60	-96	center
	-84		-60	-96	center
-88	-84	-76		-88	center
-94	-84		-60	-88	center
-94	-88	-76			center
-88	-80	-76	-68	-88	center
-88	-80			-88	center
-94	-86	-80	-60	-90	center
	-80	-78		-88	center
-90	-80	-76	-60	-90	center
	-88				center
-88	-80	-80	-70	-96	center
-88	-80	-76	-60		center
-90	-80	-80	-60	-88	center
-96	-84	-80	-60	-90	center
-88	-90	-78	-68	-96	center
-96	-88	-78		-94	center
-92	-84		-60	-88	center
-94	-82	-78	-60	-90	center
-94	-84	-78		-94	center
-92	-80	-76	-60	-88	center
-96	-88	-76	-60	-88	center
-92	-84	-78		-94	center
-92		-80	-68	-94	center
-92	-90	-76	-60	-96	center
-88	-80	-78	-60	-90	center
